state_code,income_bucket,loan_purpose,median_loan_amount_male,median_loan_amount_female,median_interest_rate_male,median_interest_rate_female,approvals_male,approvals_female,loan_amount_gap_male_minus_female,interest_rate_gap_male_minus_female
OH,Low,4,45000.0,45000.0,8.55,8.51,4331,3515,0.0,0.040000000000000924
WI,High,2,85000.0,75000.0,6.99,6.25,3504,1773,10000.0,0.7400000000000002
UT,High,2,105000.0,105000.0,7.99,7.99,3513,1184,0.0,0.0
ND,Low,32,95000.0,105000.0,6.74,6.75,113,100,-10000.0,-0.009999999999999787
CO,Low,2,55000.0,55000.0,8.75,8.75,949,1090,0.0,0.0
NY,Middle,2,65000.0,65000.0,7.25,7.25,6299,4140,0.0,0.0
AZ,Middle,32,235000.0,215000.0,6.875,6.99,5043,2561,20000.0,-0.11500000000000021
DC,Low,1,205000.0,205000.0,6.5,6.5,138,287,0.0,0.0
LA,Low,31,85000.0,95000.0,7.25,7.0,553,418,-10000.0,0.25
CT,Low,4,55000.0,55000.0,7.535,7.5,554,586,0.0,0.03500000000000014
NE,Middle,1,245000.0,235000.0,6.75,6.75,5545,3028,10000.0,0.0
TN,Low,4,55000.0,55000.0,8.5,8.5,2073,1681,0.0,0.0
LA,High,31,245000.0,265000.0,7.1,7.25,1033,237,-20000.0,-0.15000000000000036
NM,Middle,31,135000.0,105000.0,7.499499999999999,7.5,304,223,30000.0,-0.0005000000000006111
NC,Middle,31,115000.0,115000.0,7.005,6.75,4508,2562,0.0,0.2549999999999999
TN,Middle,31,155000.0,145000.0,7.25,7.24,2530,1066,10000.0,0.009999999999999787
SC,High,2,105000.0,105000.0,7.64,7.74,2121,753,0.0,-0.10000000000000053
MO,Middle,1,245000.0,235000.0,6.875,6.875,16445,9277,10000.0,0.0
SC,High,31,245000.0,215000.0,7.25,7.125,1087,360,30000.0,0.125
MO,Low,31,85000.0,75000.0,7.125,7.125,1230,997,10000.0,0.0
VT,High,32,255000.0,225000.0,6.625,7.0,125,83,30000.0,-0.375
NY,Low,2,55000.0,45000.0,7.0,7.0,2692,2404,10000.0,0.0
WY,Low,31,145000.0,110000.0,7.0,7.25,55,64,35000.0,-0.25
TN,High,1,445000.0,415000.0,6.625,6.75,15640,6303,30000.0,-0.125
NM,Middle,2,55000.0,55000.0,8.165,8.125,496,378,0.0,0.03999999999999915
RI,Middle,4,75000.0,75000.0,7.75,7.75,729,525,0.0,0.0
RI,Low,32,185000.0,155000.0,6.625,6.5,258,271,30000.0,0.125
MA,Middle,4,75000.0,75000.0,7.75,7.74,2522,1682,0.0,0.009999999999999787
VI,High,32,,375000.0,,7.99,,1,,
NJ,High,32,265000.0,255000.0,7.125,6.99,3794,1579,10000.0,0.1349999999999998
FL,Low,1,215000.0,195000.0,6.5,6.5,28285,24556,20000.0,0.0
WY,Low,2,55000.0,35000.0,8.5,7.25,67,71,20000.0,1.25
MN,Middle,32,195000.0,185000.0,6.875,6.75,2176,1136,10000.0,0.125
ND,High,1,355000.0,335000.0,6.625,6.5,1133,435,20000.0,0.125
LA,High,2,95000.0,105000.0,8.35,8.75,688,257,-10000.0,-0.40000000000000036
